Perturbation,Magnitude,decision_robustness,false_purification_rate,missed_opportunity_rate
prediction_noise,0.01,0.8048780487804879,0.49746192893401014,0.5116279069767442
prediction_noise,0.05,0.5833333333333334,0.53125,0.5423728813559322
prediction_noise,0.1,0.540650406504065,0.48507462686567165,0.4930232558139535
prediction_noise,0.2,0.508130081300813,0.5179282868525896,0.5344827586206896
bias,-0.2,0.0,0.0,0.5020325203252033
bias,-0.1,0.0020325203252032522,0.0,0.5010183299389002
bias,0.1,0.9939024390243902,0.49796747967479676,0.0
bias,0.2,0.9939024390243902,0.49796747967479676,0.0
calibration_error,0.1,0.9735772357723578,0.48851774530271397,0.2222222222222222
calibration_error,0.5,0.9939024390243902,0.49588477366255146,0.0
calibration_error,2.0,0.9939024390243902,0.49796747967479676,0.0
calibration_error,5.0,0.9939024390243902,0.49796747967479676,0.0
ood_shift,-0.3,0.0,0.0,0.5020325203252033
ood_shift,-0.15,0.0,0.0,0.5020325203252033
ood_shift,0.15,0.9939024390243902,0.49796747967479676,0.0
ood_shift,0.3,0.9939024390243902,0.49796747967479676,0.0
