c_inference_J,c_qpu_J,c_failure_J,c_fidelity_purify_J,benefit_purify_J,c_latency_wait_J,c_energy_memory_wait_J,c_missed_opportunity_halt_J,p_good,c_inference_J_norm,c_qpu_J_norm,c_failure_J_norm,c_fidelity_purify_J_norm,benefit_purify_J_norm,c_latency_wait_J_norm,c_energy_memory_wait_J_norm,c_missed_opportunity_halt_J_norm
5e-05,9.999999999999999e-06,7.097914094754287e-07,1.4761450605285857e-06,2.5397582324523573e-05,1e-09,1e-08,2.5397582324523573e-05,0.5079516464904714,0.0,0.0,0.08564441072226046,0.17986379264944127,0.8201362073505615,0.0,0.0,0.8201362073505615
5e-05,9.999999999999999e-06,7.033055606601062e-07,1.4855651196027724e-06,2.5240581339953795e-05,1e-09,1e-08,2.5240581339953795e-05,0.5048116267990759,0.0,0.0,0.014869433379029066,0.4289199559713466,0.5710800440286536,0.0,0.0,0.5710800440286536
5e-05,9.999999999999999e-06,7.044710416198478e-07,1.48473530476909e-06,2.5254411587181837e-05,1e-09,1e-08,2.5254411587181837e-05,0.5050882317436367,0.0,0.0,0.027587412300278016,0.40698055016540174,0.5930194498345999,0.0,0.0,0.5930194498345999
5e-05,9.999999999999999e-06,7.042225693292039e-07,1.4862924656004853e-06,2.522845890665858e-05,1e-09,1e-08,2.522845890665858e-05,0.5045691781331716,0.0,0.0,0.024876029219747978,0.4481501966918455,0.5518498033081567,0.0,0.0,0.5518498033081567
5e-05,9.999999999999999e-06,7.044582532475374e-07,1.4861159063156942e-06,2.52314015614051e-05,1e-09,1e-08,2.52314015614051e-05,0.504628031228102,0.0,0.0,0.027447862830918546,0.4434821603533652,0.5565178396466368,0.0,0.0,0.5565178396466368
5e-05,9.999999999999999e-06,7.039709658338324e-07,1.4864153828308533e-06,2.5226410286152446e-05,1e-09,1e-08,2.5226410286152446e-05,0.5045282057230489,0.0,0.0,0.02213047775972572,0.4513999951867931,0.5486000048132076,0.0,0.0,0.5486000048132076
5e-05,9.999999999999999e-06,7.105344209565613e-07,1.4870834532800519e-06,2.5215275778665805e-05,1e-09,1e-08,2.5215275778665805e-05,0.504305515573316,0.0,0.0,0.09375231182206531,0.4690630545790723,0.5309369454209307,0.0,0.0,0.5309369454209307
5e-05,9.999999999999999e-06,7.120558837073583e-07,1.4890397068055968e-06,2.5182671553240057e-05,1e-09,1e-08,2.5182671553240057e-05,0.5036534310648011,0.0,0.0,0.11035484061703646,0.5207842798622845,0.4792157201377196,0.0,0.0,0.4792157201377196
5e-05,9.999999999999999e-06,7.048373800496392e-07,1.487363892847642e-06,2.5210601785872633e-05,1e-09,1e-08,2.5210601785872633e-05,0.5042120357174527,0.0,0.0,0.031584976043544495,0.4764775731290718,0.5235224268709263,0.0,0.0,0.5235224268709263
5e-05,9.999999999999999e-06,7.051621522077766e-07,1.484934275809134e-06,2.5251095403181102e-05,1e-09,1e-08,2.5251095403181102e-05,0.505021908063622,0.0,0.0,0.035128959689846424,0.41224112904874943,0.5877588709512536,0.0,0.0,0.5877588709512536
