experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_f51fd3ef,2026-08-21T11:46:09.408070+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,31.03,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_6716e4a5,2026-08-21T11:46:09.411546+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,31.62,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_c03626e5,2026-08-21T11:46:09.414195+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,31.19,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_d604cc28,2026-08-21T11:46:09.416774+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_263cf760,2026-08-21T11:46:09.419516+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,42.13,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_33457bae,2026-08-21T11:46:09.422040+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,49.62,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_225c5014,2026-08-21T11:46:09.424571+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,47.16,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_1ac0190f,2026-08-21T11:46:09.426968+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,50.87,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_2d799f6d,2026-08-21T11:46:09.429347+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_be8e155c,2026-08-21T11:46:09.431790+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,53.37,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_44050c5a,2026-08-21T11:46:09.434381+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,39.45,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_88be4f57,2026-08-21T11:46:09.436913+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,39.49,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_5dbb199f,2026-08-21T11:46:09.439351+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,40.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
