exposure_time_s,depol_prob,F_fast,F_aer_reference,abs_error
1e-07,0.001,0.99485149,0.99485149,0.0
1e-07,0.01,0.98149121,0.98149121,0.0
1e-07,0.05,0.92357504,0.92357504,0.0
1e-07,0.1,0.85453837,0.85453837,0.0
1e-06,0.001,0.96289961,0.96289961,0.0
1e-06,0.01,0.95011419,0.95011419,0.0
1e-06,0.05,0.89469,0.89469,0.0
1e-06,0.1,0.82862378,0.82862378,0.0
5e-06,0.001,0.83873613,0.83873613,0.0
5e-06,0.01,0.82821667,0.82821667,0.0
5e-06,0.05,0.78261527,0.78261527,0.0
5e-06,0.1,0.72825794,0.72825794,0.0
1e-05,0.001,0.71819642,0.71819642,0.0
1e-05,0.01,0.70994579,0.70994579,0.0
1e-05,0.05,0.67417971,0.67417971,0.0
1e-05,0.1,0.63154617,0.63154617,0.0
1.5e-05,0.001,0.62793782,0.62793782,0.0
1.5e-05,0.01,0.62146003,0.62146003,0.0
1.5e-05,0.05,0.59337912,0.59337912,0.0
1.5e-05,0.1,0.55990639,0.55990639,0.0
2e-05,0.001,0.56101282,0.56101282,0.0
2e-05,0.01,0.55592162,0.55592162,0.0
2e-05,0.05,0.53385147,0.53385147,0.0
2e-05,0.1,0.50754362,0.50754362,0.0
3e-05,0.001,0.47678723,0.47678723,0.0
3e-05,0.01,0.47363224,0.47363224,0.0
3e-05,0.05,0.45995549,0.45995549,0.0
3e-05,0.1,0.44365266,0.44365266,0.0
