lag,correlation
1,-0.014172463617638334
2,-0.0030466759651498207
3,-0.001690226694238688
4,-0.00771685757766887
5,-0.012098427604472837
6,-0.013887803930778065
7,-0.011960400985092075
8,-0.009495569195370786
9,-0.012674710191953622
10,-0.02218769923553398
11,-0.020255391676165156
12,-0.013537508669424866
13,-0.011498699482052215
14,-0.007415627655129526
15,-0.007321886815551246
16,-0.012544316175527325
17,-0.0077675106186031895
18,-0.004618795903035513
19,-0.014798062724394302
20,-0.02536406142593743
