seed,Blind,Reactive,Predictive,Oracle,DualHead,Source_File,Controller,N,Mean,Std,Median,CI95_low,CI95_high,Min,Max,Purification_Count,Useful_Pairs,Useful_Pair_Rate_pct,False_Purification_FP,Missed_Opportunity_FN,Total_Latency_ms,Total_Energy_J,Note
42.0,31.03,31.62,31.19,100.0,42.13,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
123.0,49.62,47.16,50.87,100.0,53.37,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
7.0,39.45,39.49,40.0,100.0,50.54,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
2024.0,44.47,45.08,44.57,100.0,50.0,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
31415.0,45.35,46.6,45.35,100.0,49.44,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
99.0,41.71,42.24,42.3,100.0,47.06,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
555.0,37.06,38.78,37.8,100.0,43.63,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
8080.0,47.99,49.6,47.93,100.0,52.44,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
271828.0,40.7,39.85,41.01,100.0,54.78,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
16180.0,49.12,50.19,49.17,100.0,61.33,controller_comparison_10seed_raw.csv,,,,,,,,,,,,,,,,,
,,,,,,controller_comparison_10seed_summary.csv,Blind,10.0,42.65,5.876,43.09,38.446,46.854,31.03,49.62,,,,,,,,
,,,,,,controller_comparison_10seed_summary.csv,Reactive,10.0,43.061,5.773,43.66,38.931,47.191,31.62,50.19,,,,,,,,
,,,,,,controller_comparison_10seed_summary.csv,Predictive,10.0,43.019,5.89,43.435,38.805,47.233,31.19,50.87,,,,,,,,
,,,,,,controller_comparison_10seed_summary.csv,DualHead,10.0,50.472,5.558,50.27,46.496,54.448,42.13,61.33,,,,,,,,
,,,,,,controller_comparison_10seed_summary.csv,Oracle,10.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
,,,,,,multi_metric_scorecard.csv,Blind,,,,,,,,,796.0,247.0,31.03,,,1487.49,0.029261,
,,,,,,multi_metric_scorecard.csv,Reactive,,,,,,,,,487.0,154.0,31.62,333.0,93.0,992.75,0.026171,
,,,,,,multi_metric_scorecard.csv,Predictive,,,,,,,,,796.0,247.0,31.03,549.0,0.0,1487.49,0.029261,
,,,,,,multi_metric_scorecard.csv,DualHead,,,,,,,,,468.0,211.0,45.09,257.0,36.0,962.32,0.025981,
,,,,,,multi_metric_scorecard.csv,Oracle,,,,,,,,,247.0,247.0,100.0,0.0,0.0,608.48,0.023771,
