Halt_Rate_pct,Break_Even_E_QPU_per_gate_J,Source_File,P_inference_W,E_QPU_per_gate_J,ratio_delta_EQPU_avoided_over_Einference,predictive_justified
2.0,0.00025,energy_break_even.csv,,,,
10.0,5.319148936170293e-05,energy_break_even.csv,,,,
25.0,2.2321428571428324e-05,energy_break_even.csv,,,,
50.0,1.1210762331838608e-05,energy_break_even.csv,,,,
68.0,7.78816199376909e-06,energy_break_even.csv,,,,
85.0,6.009615384615751e-06,energy_break_even.csv,,,,
2.0,,energy_sensitivity_grid.csv,0.01,1e-08,0.0004,False
2.0,,energy_sensitivity_grid.csv,0.01,1e-07,0.004,False
2.0,,energy_sensitivity_grid.csv,0.01,1e-06,0.04,False
2.0,,energy_sensitivity_grid.csv,0.01,1e-05,0.4,False
2.0,,energy_sensitivity_grid.csv,0.01,0.0001,4.0,True
2.0,,energy_sensitivity_grid.csv,0.05,1e-08,0.0001,False
2.0,,energy_sensitivity_grid.csv,0.05,1e-07,0.0008,False
2.0,,energy_sensitivity_grid.csv,0.05,1e-06,0.008,False
2.0,,energy_sensitivity_grid.csv,0.05,1e-05,0.08,False
2.0,,energy_sensitivity_grid.csv,0.05,0.0001,0.8,False
2.0,,energy_sensitivity_grid.csv,0.1,1e-08,0.0,False
2.0,,energy_sensitivity_grid.csv,0.1,1e-07,0.0004,False
2.0,,energy_sensitivity_grid.csv,0.1,1e-06,0.004,False
2.0,,energy_sensitivity_grid.csv,0.1,1e-05,0.04,False
2.0,,energy_sensitivity_grid.csv,0.1,0.0001,0.4,False
2.0,,energy_sensitivity_grid.csv,0.5,1e-08,0.0,False
2.0,,energy_sensitivity_grid.csv,0.5,1e-07,0.0001,False
2.0,,energy_sensitivity_grid.csv,0.5,1e-06,0.0008,False
2.0,,energy_sensitivity_grid.csv,0.5,1e-05,0.008,False
2.0,,energy_sensitivity_grid.csv,0.5,0.0001,0.08,False
2.0,,energy_sensitivity_grid.csv,1.0,1e-08,0.0,False
2.0,,energy_sensitivity_grid.csv,1.0,1e-07,0.0,False
2.0,,energy_sensitivity_grid.csv,1.0,1e-06,0.0004,False
2.0,,energy_sensitivity_grid.csv,1.0,1e-05,0.004,False
2.0,,energy_sensitivity_grid.csv,1.0,0.0001,0.04,False
10.0,,energy_sensitivity_grid.csv,0.01,1e-08,0.0019,False
10.0,,energy_sensitivity_grid.csv,0.01,1e-07,0.0188,False
10.0,,energy_sensitivity_grid.csv,0.01,1e-06,0.188,False
10.0,,energy_sensitivity_grid.csv,0.01,1e-05,1.88,True
10.0,,energy_sensitivity_grid.csv,0.01,0.0001,18.8,True
10.0,,energy_sensitivity_grid.csv,0.05,1e-08,0.0004,False
10.0,,energy_sensitivity_grid.csv,0.05,1e-07,0.0038,False
10.0,,energy_sensitivity_grid.csv,0.05,1e-06,0.0376,False
10.0,,energy_sensitivity_grid.csv,0.05,1e-05,0.376,False
10.0,,energy_sensitivity_grid.csv,0.05,0.0001,3.76,True
10.0,,energy_sensitivity_grid.csv,0.1,1e-08,0.0002,False
10.0,,energy_sensitivity_grid.csv,0.1,1e-07,0.0019,False
10.0,,energy_sensitivity_grid.csv,0.1,1e-06,0.0188,False
10.0,,energy_sensitivity_grid.csv,0.1,1e-05,0.188,False
10.0,,energy_sensitivity_grid.csv,0.1,0.0001,1.88,True
10.0,,energy_sensitivity_grid.csv,0.5,1e-08,0.0,False
10.0,,energy_sensitivity_grid.csv,0.5,1e-07,0.0004,False
10.0,,energy_sensitivity_grid.csv,0.5,1e-06,0.0038,False
10.0,,energy_sensitivity_grid.csv,0.5,1e-05,0.0376,False
10.0,,energy_sensitivity_grid.csv,0.5,0.0001,0.376,False
10.0,,energy_sensitivity_grid.csv,1.0,1e-08,0.0,False
10.0,,energy_sensitivity_grid.csv,1.0,1e-07,0.0002,False
10.0,,energy_sensitivity_grid.csv,1.0,1e-06,0.0019,False
10.0,,energy_sensitivity_grid.csv,1.0,1e-05,0.0188,False
10.0,,energy_sensitivity_grid.csv,1.0,0.0001,0.188,False
25.0,,energy_sensitivity_grid.csv,0.01,1e-08,0.0045,False
