Modelo,Seed,Tentativas QPU,Pares Úteis,Yield QPU (%),Ciclos Salvos (HALT),Economia QPU (%),Déficit/Superávit SKR,TP,FP,TN,FN,MAE Predição,Latência média (ms)
Blind Baseline,42,796,168,21.11,,,,,,,,,
EdgeLSTM + CS_MSELoss,42,80,50,62.5,716.0,89.95,-118.0,50.0,30.0,598.0,118.0,0.03052,0.42
LSTM + MSE,42,171,146,85.38,625.0,78.52,-22.0,146.0,25.0,603.0,22.0,0.00584,0.4191
Random Forest,42,178,151,84.83,618.0,77.64,-17.0,151.0,27.0,601.0,17.0,0.00521,16.6805
XGBoost,42,172,152,88.37,624.0,78.39,-16.0,152.0,20.0,608.0,16.0,0.00523,0.6271
Transformer,42,194,156,80.41,602.0,75.63,-12.0,156.0,38.0,590.0,12.0,0.0073,0.5214
Blind Baseline,123,796,464,58.29,,,,,,,,,
EdgeLSTM + CS_MSELoss,123,549,334,60.84,247.0,31.03,-130.0,334.0,215.0,117.0,130.0,0.04013,0.4063
LSTM + MSE,123,463,442,95.46,333.0,41.83,-22.0,442.0,21.0,311.0,22.0,0.00787,0.3665
Random Forest,123,459,443,96.51,337.0,42.34,-21.0,443.0,16.0,316.0,21.0,0.00618,11.3463
XGBoost,123,464,448,96.55,332.0,41.71,-16.0,448.0,16.0,316.0,16.0,0.00735,0.5885
Transformer,123,477,446,93.5,319.0,40.08,-18.0,446.0,31.0,301.0,18.0,0.00835,0.4319
