,,HALT_pct,HALT_pct,WAIT_pct,WAIT_pct,PURIFY_pct,PURIFY_pct
,,mean,std,mean,std,mean,std
Weight,Multiplier,,,,,,
C_QPU (E_QPU_PER_GATE_J),0.1,0.0,0.0,0.08,0.17,99.92,0.17
C_QPU (E_QPU_PER_GATE_J),0.5,0.0,0.0,0.12,0.21,99.88,0.21
C_QPU (E_QPU_PER_GATE_J),1.0,0.0,0.0,0.2,0.3,99.8,0.3
C_QPU (E_QPU_PER_GATE_J),2.0,0.0,0.0,0.81,1.67,99.19,1.67
C_QPU (E_QPU_PER_GATE_J),5.0,0.0,0.0,6.87,7.55,93.13,7.55
C_QPU (E_QPU_PER_GATE_J),10.0,0.0,0.0,100.0,0.0,0.0,0.0
C_energy (P_INFERENCE_EDGE_W),0.1,0.0,0.0,0.2,0.3,99.8,0.3
C_energy (P_INFERENCE_EDGE_W),0.5,0.0,0.0,0.2,0.3,99.8,0.3
C_energy (P_INFERENCE_EDGE_W),1.0,0.0,0.0,0.2,0.3,99.8,0.3
C_energy (P_INFERENCE_EDGE_W),2.0,0.0,0.0,0.2,0.3,99.8,0.3
C_energy (P_INFERENCE_EDGE_W),5.0,0.0,0.0,0.2,0.3,99.8,0.3
C_energy (P_INFERENCE_EDGE_W),10.0,0.0,0.0,0.2,0.3,99.8,0.3
C_failure (FAILURE_COST_J),0.1,0.0,0.0,0.2,0.3,99.8,0.3
C_failure (FAILURE_COST_J),0.5,0.0,0.0,0.2,0.3,99.8,0.3
C_failure (FAILURE_COST_J),1.0,0.0,0.0,0.2,0.3,99.8,0.3
C_failure (FAILURE_COST_J),2.0,0.0,0.0,0.24,0.41,99.76,0.41
C_failure (FAILURE_COST_J),5.0,0.0,0.0,0.3,0.52,99.7,0.52
C_failure (FAILURE_COST_J),10.0,0.0,0.0,0.59,1.35,99.41,1.35
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),0.1,0.0,0.0,100.0,0.0,0.0,0.0
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),0.5,0.0,0.0,1.01,2.06,98.99,2.06
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),1.0,0.0,0.0,0.2,0.3,99.8,0.3
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),2.0,0.0,0.0,0.1,0.21,99.9,0.21
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),5.0,0.0,0.0,0.02,0.06,99.98,0.06
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),10.0,0.0,0.0,0.0,0.0,100.0,0.0
C_latency (WAIT_LATENCY_COST_PER_S),0.1,0.0,0.0,0.2,0.3,99.8,0.3
C_latency (WAIT_LATENCY_COST_PER_S),0.5,0.0,0.0,0.2,0.3,99.8,0.3
C_latency (WAIT_LATENCY_COST_PER_S),1.0,0.0,0.0,0.2,0.3,99.8,0.3
C_latency (WAIT_LATENCY_COST_PER_S),2.0,0.0,0.0,0.2,0.3,99.8,0.3
C_latency (WAIT_LATENCY_COST_PER_S),5.0,0.0,0.0,0.2,0.3,99.8,0.3
C_latency (WAIT_LATENCY_COST_PER_S),10.0,0.0,0.0,0.2,0.3,99.8,0.3
